time,minor,rssi,,
15:27:21,145,-84,,
15:27:21,144,-71,,
15:27:21,148,-66,,
15:27:21,136,-79,,
15:27:21,142,-79,,
15:27:21,152,-74,,
15:27:21,146,-63,,
15:27:21,144,-71,,
15:27:21,148,-64,,
15:27:21,142,-80,,
15:27:21,152,-79,,
15:27:21,146,-61,,
15:27:21,145,-83,,
15:27:21,144,-67,,
15:27:21,138,-78,,
15:27:21,148,-65,,
15:27:21,147,-81,,
15:27:22,142,-78,,
15:27:22,152,-77,,
15:27:22,140,-80,,
15:27:22,150,-79,,
15:27:22,146,-67,,
15:27:22,144,-72,,
15:27:22,148,-73,,
15:27:22,142,-79,,
15:27:22,140,-79,,
15:27:22,146,-66,,
15:27:22,145,-80,,
15:27:22,144,-79,,
15:27:22,148,-69,,
15:27:23,152,-72,,
15:27:23,150,-80,,
15:27:23,146,-68,,
15:27:23,144,-69,,
15:27:23,148,-67,,
15:27:23,147,-83,,
15:27:23,142,-77,,
15:27:23,152,-76,,
15:27:23,140,-81,,
15:27:23,150,-78,,
15:27:23,146,-64,,
15:27:23,144,-76,,
15:27:23,148,-62,,
15:27:23,146,-66,,
15:27:23,148,-72,,
15:27:24,146,-63,,
15:27:24,143,-85,,
15:27:24,146,-63,,
15:27:25,146,-67,,
15:27:25,148,-69,,
15:27:25,146,-69,,
15:27:25,144,-71,,
15:27:25,148,-67,,
15:27:25,146,-63,,
15:27:26,142,-73,,
15:27:26,146,-62,,
15:27:27,146,-62,,
15:27:27,144,-71,,
15:27:27,146,-60,,
15:27:27,144,-69,,
15:27:27,146,-63,,
15:27:27,144,-73,,
15:27:28,146,-56,,
15:27:28,144,-70,,
15:27:29,146,-53,,
15:27:29,144,-73,,
15:27:29,143,-84,,
15:27:29,146,-54,,
15:27:29,145,-78,,
15:27:29,144,-72,,
15:27:29,144,-69,,
15:27:30,142,-79,,
15:27:30,146,-63,,
15:27:30,142,-80,,
15:27:30,146,-65,,
15:27:30,145,-76,,
15:27:30,144,-75,,
15:27:31,142,-80,,
15:27:31,145,-76,,
15:27:31,142,-79,,
15:27:31,146,-71,,
15:27:31,144,-68,,
15:27:31,148,-76,,
15:27:31,142,-75,,
15:27:31,140,-80,,
15:27:31,146,-69,,
15:27:31,145,-83,,
15:27:31,144,-66,,
15:27:31,143,-76,,
15:27:31,138,-79,,
15:27:31,148,-76,,
15:27:32,142,-75,,
15:27:32,152,-81,,
15:27:32,150,-76,,
15:27:32,146,-62,,
15:27:32,144,-65,,
15:27:32,128,-83,,
15:27:32,148,-75,,
15:27:32,147,-84,,
15:27:32,142,-83,,
15:27:32,134,-81,,
15:27:32,144,-61,,
15:27:32,143,-75,,
15:27:33,150,-79,,
15:27:33,146,-67,,
15:27:33,145,-85,,
15:27:33,134,-81,,
15:27:33,144,-65,,
15:27:33,143,-71,,
15:27:33,147,-89,,
15:27:33,142,-80,,
15:27:33,146,-67,,
15:27:33,144,-65,,
15:27:33,143,-71,,
15:27:33,148,-77,,
15:27:33,152,-81,,
15:27:33,150,-81,,
15:27:33,146,-74,,
15:27:33,144,-66,,
15:27:33,148,-75,,
15:27:33,147,-85,,
15:27:34,146,-72,,
15:27:34,138,-79,,
15:27:34,147,-86,,
15:27:34,150,-80,,
15:27:34,146,-69,,
15:27:34,145,-81,,
15:27:34,143,-76,,
15:27:35,141,-83,,
15:27:35,142,-76,,
15:27:35,140,-81,,
15:27:35,144,-66,,
15:27:35,147,-83,,
15:27:35,160,-83,,
15:27:35,138,-79,,
15:27:37,150,-79,,
15:27:37,144,-64,,
15:27:37,148,-78,,
15:27:37,142,-77,,
15:27:37,144,-69,,
15:27:38,142,-78,,
15:27:38,144,-64,,
15:27:38,143,-80,,
15:27:38,142,-72,,
15:27:39,142,-78,,
15:27:39,146,-77,,
15:27:39,144,-73,,
15:27:39,142,-72,,
15:27:39,144,-67,,
15:27:39,142,-70,,
15:27:39,152,-78,,
15:27:39,150,-86,,
15:27:39,144,-63,,
15:27:40,160,-78,,
15:27:40,142,-67,,
15:27:40,146,-72,,
15:27:40,134,-81,,
15:27:40,144,-60,,
15:27:40,143,-79,,
15:27:40,142,-80,,
15:27:40,141,-78,,
15:27:40,146,-79,,
15:27:40,145,-83,,
15:27:40,143,-80,,
15:27:41,160,-82,,
15:27:41,142,-78,,
15:27:41,145,-88,,
15:27:41,144,-51,,
15:27:41,143,-79,,
15:27:41,142,-69,,
15:27:41,143,-78,,
15:27:41,138,-78,,
15:27:41,142,-68,,
15:27:41,146,-75,,
15:27:41,145,-82,,
15:27:41,144,-56,,
15:27:41,143,-78,,
15:27:42,142,-70,,
15:27:42,144,-63,,
15:27:42,138,-79,,
15:27:42,148,-78,,
15:27:42,142,-71,,
15:27:42,141,-77,,
15:27:42,144,-62,,
15:27:42,143,-78,,
15:27:42,138,-79,,
15:27:43,142,-70,,
15:27:43,146,-79,,
15:27:43,144,-64,,
15:27:43,138,-77,,
15:27:43,148,-77,,
15:27:43,142,-68,,
15:27:43,146,-79,,
15:27:43,144,-63,,
15:27:43,143,-71,,
15:27:43,138,-78,,
15:27:43,148,-79,,
15:27:43,142,-68,,
15:27:44,142,-67,,
15:27:44,144,-64,,
15:27:44,142,-66,,
15:27:45,142,-64,,
15:27:45,144,-68,,
15:27:45,142,-65,,
15:27:45,144,-66,,
15:27:46,142,-64,,
15:27:46,144,-69,,
15:27:46,142,-62,,
15:27:46,142,-63,,
15:27:47,142,-63,,
15:27:48,142,-69,,
15:27:48,144,-73,,
15:27:48,142,-66,,
15:27:48,141,-74,,
15:27:48,144,-76,,
15:27:48,142,-65,,
15:27:48,141,-74,,
15:27:48,140,-79,,
15:27:48,144,-79,,
15:27:49,142,-61,,
15:27:49,144,-77,,
15:27:49,142,-61,,
15:27:50,142,-64,,
15:27:50,141,-74,,
15:27:50,142,-66,,
15:27:50,144,-77,,
15:27:50,142,-63,,
15:27:50,144,-76,,
15:27:51,142,-61,,
15:27:51,141,-70,,
15:27:51,144,-75,,
15:27:51,142,-65,,
15:27:51,144,-74,,
15:27:52,142,-60,,
15:27:52,142,-66,,
15:27:52,141,-76,,
15:27:52,144,-79,,
15:27:52,142,-75,,
15:27:52,141,-69,,
15:27:53,142,-66,,
15:27:53,145,-82,,
15:27:53,141,-67,,
15:27:53,143,-79,,
15:27:54,142,-74,,
15:27:54,141,-68,,
15:27:54,144,-79,,
15:27:54,143,-75,,
15:27:54,139,-79,,
15:27:54,142,-72,,
15:27:54,141,-66,,
15:27:54,144,-79,,
15:27:54,143,-79,,
15:27:54,142,-79,,
15:27:54,141,-67,,
15:27:54,144,-78,,
15:27:54,143,-74,,
15:27:54,139,-79,,
15:27:55,141,-65,,
15:27:55,144,-79,,
15:27:55,142,-77,,
15:27:55,143,-78,,
15:27:56,142,-73,,
15:27:56,141,-69,,
15:27:56,143,-81,,
15:27:56,142,-78,,
15:27:56,141,-62,,
15:27:56,140,-81,,
15:27:56,143,-70,,
15:27:56,141,-61,,
15:27:57,141,-57,,
15:27:57,143,-69,,
15:27:57,141,-64,,
15:27:57,143,-67,,
15:27:58,141,-62,,
15:27:58,143,-72,,
15:27:58,141,-58,,
15:27:58,141,-67,,
15:27:59,141,-66,,
15:27:59,141,-70,,
15:27:59,145,-71,,
15:27:59,143,-72,,
15:28:00,141,-61,,
15:28:00,143,-72,,
15:28:00,141,-68,,
15:28:00,144,-76,,
15:28:00,143,-69,,
15:28:00,145,-73,,
15:28:00,143,-66,,
15:28:01,141,-73,,
15:28:01,145,-69,,
15:28:01,144,-79,,
15:28:01,143,-63,,
15:28:01,142,-81,,
15:28:01,141,-77,,
15:28:01,145,-71,,
15:28:02,142,-79,,
15:28:02,141,-75,,
15:28:02,143,-63,,
15:28:02,143,-72,,
15:28:02,141,-71,,
15:28:02,145,-68,,
15:28:02,143,-69,,
15:28:03,145,-73,,
15:28:03,143,-61,,
15:28:03,145,-69,,
15:28:03,143,-61,,
15:28:04,141,-76,,
15:28:04,145,-71,,
15:28:04,151,-80,,
15:28:04,143,-65,,
15:28:04,153,-79,,
15:28:04,155,-77,,
15:28:04,143,-61,,
15:28:05,151,-81,,
15:28:05,155,-78,,
15:28:05,144,-78,,
15:28:05,153,-79,,
15:28:05,141,-77,,
15:28:05,151,-81,,
15:28:05,145,-80,,
15:28:05,143,-63,,
15:28:05,147,-78,,
15:28:06,153,-81,,
15:28:06,151,-78,,
15:28:06,153,-79,,
15:28:06,141,-76,,
15:28:06,151,-77,,
15:28:06,155,-77,,
15:28:06,144,-79,,
15:28:06,143,-65,,
15:28:06,141,-77,,
15:28:06,146,-78,,
15:28:06,145,-74,,
15:28:06,144,-81,,
15:28:06,147,-76,,
15:28:07,153,-78,,
15:28:07,145,-75,,
15:28:07,155,-77,,
15:28:07,143,-62,,
15:28:07,147,-75,,
15:28:07,145,-71,,
15:28:07,155,-75,,
15:28:07,144,-78,,
15:28:07,143,-60,,
15:28:07,147,-74,,
15:28:08,153,-78,,
15:28:08,141,-75,,
15:28:08,145,-69,,
15:28:08,144,-81,,
15:28:08,143,-65,,
15:28:08,147,-74,,
15:28:08,153,-79,,
15:28:08,142,-79,,
15:28:08,146,-79,,
15:28:08,155,-75,,
15:28:08,143,-53,,
15:28:08,145,-68,,
15:28:08,143,-55,,
15:28:09,145,-68,,
15:28:09,143,-58,,
15:28:10,145,-65,,
15:28:10,143,-64,,
15:28:10,145,-67,,
15:28:10,143,-61,,
15:28:11,145,-69,,
15:28:11,143,-65,,
15:28:11,145,-68,,
15:28:11,143,-71,,
15:28:12,145,-63,,
15:28:12,145,-64,,
15:28:12,145,-67,,
15:28:12,143,-67,,
15:28:13,145,-64,,
15:28:13,143,-75,,
15:28:13,147,-73,,
15:28:13,145,-67,,
15:28:13,143,-74,,
15:28:13,147,-77,,
15:28:14,145,-68,,
15:28:14,143,-78,,
15:28:14,145,-66,,
15:28:15,153,-79,,
15:28:15,145,-72,,
15:28:15,143,-70,,
15:28:15,146,-76,,
15:28:15,144,-78,,
15:28:15,143,-74,,
15:28:15,147,-76,,
15:28:15,145,-64,,
15:28:15,147,-76,,
15:28:16,141,-85,,
15:28:16,143,-81,,
15:28:16,148,-80,,
15:28:16,141,-84,,
15:28:16,145,-66,,
15:28:16,143,-80,,
15:28:17,153,-77,,
15:28:17,146,-79,,
15:28:17,155,-77,,
15:28:17,144,-78,,
15:28:17,147,-69,,
15:28:17,146,-73,,
15:28:17,145,-62,,
15:28:17,155,-75,,
15:28:17,143,-73,,
15:28:17,147,-79,,
15:28:17,145,-62,,
15:28:17,155,-75,,
15:28:17,148,-79,,
15:28:17,147,-67,,
15:28:18,151,-81,,
15:28:18,145,-60,,
15:28:18,155,-75,,
15:28:18,153,-77,,
15:28:18,145,-62,,
15:28:18,155,-76,,
15:28:18,143,-74,,
15:28:18,149,-74,,
15:28:19,153,-78,,
15:28:19,145,-58,,
15:28:19,155,-75,,
15:28:19,144,-79,,
15:28:19,143,-75,,
15:28:19,149,-80,,
15:28:19,147,-74,,
15:28:19,153,-81,,
15:28:19,155,-75,,
15:28:19,143,-78,,
15:28:19,149,-74,,
15:28:19,147,-67,,
15:28:19,153,-79,,
15:28:19,145,-49,,
15:28:19,155,-75,,
15:28:19,143,-74,,
15:28:19,149,-80,,
15:28:19,147,-69,,
15:28:20,153,-77,,
15:28:20,151,-79,,
15:28:20,146,-81,,
15:28:20,145,-55,,
15:28:20,155,-79,,
15:28:20,143,-76,,
15:28:20,147,-67,,
15:28:20,143,-76,,
15:28:21,146,-74,,
15:28:21,145,-60,,
15:28:21,147,-65,,
15:28:21,153,-86,,
15:28:21,145,-61,,
15:28:21,147,-70,,
15:28:22,147,-67,,
15:28:22,143,-73,,
15:28:22,147,-67,,
15:28:23,145,-71,,
15:28:23,147,-69,,
15:28:23,145,-70,,
15:28:23,147,-69,,
15:28:24,145,-65,,
15:28:24,147,-65,,
15:28:25,145,-75,,
15:28:25,147,-67,,
15:28:25,145,-66,,
15:28:25,149,-75,,
15:28:25,147,-70,,
15:28:25,145,-80,,
15:28:25,143,-77,,
15:28:25,147,-67,,
15:28:26,155,-78,,
15:28:26,147,-64,,
15:28:27,145,-69,,
15:28:27,147,-73,,
15:28:27,155,-76,,
15:28:27,147,-72,,
15:28:27,145,-77,,
15:28:27,147,-63,,
15:28:28,145,-77,,
15:28:28,147,-67,,
15:28:28,155,-76,,
15:28:28,143,-78,,
15:28:28,147,-63,,
15:28:29,148,-74,,
15:28:29,147,-63,,
15:28:29,155,-75,,
15:28:29,148,-78,,
15:28:29,147,-64,,
15:28:29,145,-79,,
15:28:29,155,-75,,
15:28:29,143,-77,,
15:28:29,148,-75,,
15:28:29,147,-63,,
15:28:30,153,-79,,
15:28:30,145,-75,,
15:28:30,155,-77,,
15:28:30,149,-71,,
15:28:30,148,-73,,
15:28:30,147,-63,,
15:28:30,151,-78,,
15:28:30,155,-78,,
15:28:30,143,-80,,
15:28:30,148,-75,,
15:28:30,147,-55,,
15:28:31,153,-79,,
15:28:31,151,-78,,
15:28:31,150,-86,,
15:28:31,145,-84,,
15:28:31,155,-79,,
15:28:31,149,-69,,
15:28:31,148,-77,,
15:28:31,147,-50,,
15:28:31,153,-76,,
15:28:31,143,-81,,
15:28:31,149,-71,,
15:28:31,148,-72,,
15:28:31,147,-55,,
15:28:31,151,-75,,
15:28:31,155,-78,,
15:28:31,149,-76,,
15:28:31,148,-78,,
15:28:32,151,-78,,
15:28:32,155,-76,,
15:28:32,149,-71,,
15:28:32,148,-75,,
15:28:32,147,-54,,
15:28:32,145,-74,,
15:28:32,143,-78,,
15:28:32,149,-71,,
15:28:32,147,-62,,
15:28:33,151,-76,,
15:28:33,155,-78,,
15:28:33,149,-68,,
15:28:33,147,-60,,
15:28:33,149,-67,,
15:28:33,147,-61,,
15:28:33,149,-71,,
15:28:34,147,-64,,
15:28:34,147,-66,,
15:28:35,153,-89,,
15:28:35,147,-69,,
15:28:35,147,-67,,
15:28:36,149,-71,,
15:28:36,147,-72,,
15:28:37,147,-65,,
15:28:37,149,-73,,
15:28:37,148,-79,,
15:28:37,150,-80,,
15:28:37,155,-79,,
15:28:37,149,-71,,
15:28:37,148,-84,,
15:28:38,151,-80,,
15:28:38,150,-82,,
15:28:38,148,-82,,
15:28:38,147,-81,,
15:28:38,151,-78,,
15:28:38,150,-75,,
15:28:38,149,-67,,
15:28:38,148,-84,,
15:28:39,151,-79,,
15:28:39,149,-68,,
15:28:39,149,-64,,
15:28:40,150,-75,,
15:28:40,149,-75,,
15:28:40,153,-77,,
15:28:40,151,-73,,
15:28:40,149,-75,,
